,title,magnitude,date_time,cdi,mmi,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,country
24,"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,22-03-2022 17:41,8,7,1,806,us,0,0.289,32.0,mww,24.0,23.3421,121.636,Taiwan
26,"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,13-03-2022 21:09,9,6,0,708,us,0,2.188,43.0,mww,28.0,-0.6831,98.6034,Indonesia
29,"M 6.5 - 49 km NW of Barranca, Peru",6.5,03-02-2022 15:58,8,6,0,690,us,0,3.026,22.0,mww,110.0,-4.455,-76.9395,Peru
31,"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,14-01-2022 09:05,8,6,0,785,us,0,2.418,22.0,mww,33.0,-6.9291,105.251,Indonesia
39,"M 6.6 - northern Qinghai, China",6.6,07-01-2022 17:45,9,8,0,1012,us,0,2.685,13.0,mww,13.0,37.8167,101.299,People's Republic of China
40,"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.3,29-12-2021 18:25,8,7,0,921,us,0,3.713,19.0,mww,165.49,-7.5924,127.581,Indonesia
41,M 7.3 - Flores Sea,7.3,14-12-2021 03:20,9,5,1,854,us,0,1.025,32.0,mww,14.27,-7.6033,122.2,Indonesia
42,"M 7.5 - 43 km NNW of Barranca, Peru",7.5,28-11-2021 10:52,8,8,1,1094,us,0,4.951,40.0,mww,126.0,-4.4898,-76.8461,Peru
44,"M 6.9 - 112 km E of Chignik, Alaska",6.9,11-10-2021 09:10,8,6,1,995,ak,0,0.0,0.0,mww,51.6,56.2581,-156.492,United States of America
48,"M 7.0 - Acapulco, Mexico",7.0,08-09-2021 01:47,8,8,1,2504,us,0,0.07,43.0,mww,20.0,16.9502,-99.7877,Mexico
49,M 7.1 - South Sandwich Islands region,7.1,22-08-2021 21:33,1,4,1,776,us,0,9.799,32.0,mww,6.0,-60.3026,-24.9992,Antarctica
50,M 6.6 - South Sandwich Islands region,6.6,22-08-2021 00:45,1,3,1,670,us,0,8.865,19.0,mww,7.0,-60.1023,-24.4608,Antarctica
51,"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.9,18-08-2021 10:10,8,7,1,741,us,0,0.579,54.0,mww,93.0,-14.892,167.085,Vanuatu
53,"M 7.2 - Nippes, Haiti",7.2,14-08-2021 12:29,9,8,1,2331,us,0,1.178,23.0,mww,10.0,18.3521,-73.4804,Haiti
61,"M 6.7 - 15 km S of Hukay, Philippines",6.7,23-07-2021 20:48,8,5,1,935,us,0,8.139,12.0,mww,110.0,13.6989,120.713,Philippines
65,"M 7.3 - Southern Qinghai, China",7.3,21-05-2021 18:04,9,9,0,1025,us,0,4.655,9.0,mww,10.0,34.5861,98.2551,People's Republic of China
68,M 6.9 - ,6.9,01-05-2021 01:27,7,6,1,919,us,0,2.619,35.0,mww,43.0,38.2296,141.665,Japan
71,"M 7.0 - 30 km E of Ishinomaki, Japan",7.0,20-03-2021 09:09,7,7,1,1052,us,0,2.378,35.0,mww,43.0,38.4752,141.607,Japan
79,M 6.9 - South Shetland Islands,6.9,23-01-2021 23:36,9,5,1,739,us,0,1.55,16.0,mww,15.0,-61.8484,-55.559,Antarctica
81,"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,11-01-2021 21:32,8,8,0,776,us,0,2.043,22.0,mww,10.0,51.2407,100.443,Mongolia
83,"M 7.0 - 13 km NNE of Néon Karlovásion, Greece",7.0,30-10-2020 11:51,8,7,0,1527,us,0,1.518,18.0,mww,21.0,37.8973,26.7953,Greece
84,"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,19-10-2020 20:54,9,7,1,1165,us,0,0.23,36.0,mww,28.37,54.662,-159.675,United States of America
87,"M 6.8 - 86 km NW of Vallenar, Chile",6.8,01-09-2020 04:09,6,7,1,824,us,0,0.312,69.0,mww,21.0,-28.013,-71.1958,Chile
89,"M 6.9 - 222 km SSE of Katabu, Indonesia",6.9,21-08-2020 04:09,4,3,0,749,us,0,2.267,20.0,mww,624.0,-6.6704,123.493,Indonesia
90,"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.9,18-08-2020 22:29,4,4,0,735,us,0,1.716,25.0,mww,26.0,-4.2791,101.215,Indonesia
91,"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.8,18-08-2020 22:23,5,4,0,716,us,0,1.816,34.0,mww,22.0,-4.3724,101.095,Indonesia
92,"M 6.6 - 13 km E of San Pedro, Philippines",6.6,18-08-2020 00:03,9,8,1,784,us,0,5.128,14.0,mww,10.0,12.0065,124.13,Philippines
94,"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",7.0,17-07-2020 02:50,6,7,1,820,us,0,1.671,18.0,mww,73.0,-7.847,147.755,Papua New Guinea
95,"M 6.6 - 97 km N of Batang, Indonesia",6.6,06-07-2020 22:54,4,2,0,684,us,0,1.458,14.0,mww,533.76,-5.6368,110.678,Indonesia
96,"M 7.4 - 9 km SE of Santa María Xadani, Mexico",7.4,23-06-2020 15:29,8,8,1,1494,us,0,0.151,30.0,mww,20.0,15.9163,-95.9533,Mexico
99,"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,03-06-2020 07:35,6,6,1,835,us,0,1.164,21.0,mww,112.0,-23.2966,-68.4204,Chile
100,"M 6.5 - Monte Cristo Range, NV Earthquake",6.5,15-05-2020 11:03,7,8,0,1320,nn,27,0.357,55.79,ml,2.7,38.1689,-117.85,United States of America
102,M 6.8 - Banda Sea,6.8,06-05-2020 13:53,4,6,0,738,us,0,1.921,16.0,mww,96.0,-6.7762,129.785,Indonesia
104,"M 6.5 - Stanley, Idaho",6.5,31-03-2020 23:52,8,8,0,1410,us,0,0.885,31.0,mww,12.06,44.4646,-115.118,United States of America
106,"M 7.0 - 95 km ENE of Kuril’sk, Russia",7.0,13-02-2020 10:33,5,6,1,770,us,0,4.501,25.0,mww,143.0,45.6161,148.959,Russia
108,"M 6.7 - 13 km N of Do?anyol, Turkey",6.7,24-01-2020 17:55,8,9,0,1247,us,0,0.87,49.0,mww,10.0,38.4312,39.0609,Turkey
109,"M 6.8 - 7 km S of Magsaysay, Philippines",6.8,15-12-2019 06:11,9,7,1,825,us,0,0.546,39.0,mww,18.0,6.6969,125.174,Philippines
110,"M 7.1 - 138km E of Bitung, Indonesia",7.1,14-11-2019 16:17,6,6,1,799,us,0,1.271,11.0,mww,33.0,1.6213,126.416,Indonesia
113,"M 6.5 - 2km ESE of Kisante, Philippines",6.5,31-10-2019 01:11,9,7,1,733,us,0,0.428,19.0,mww,10.0,6.9098,125.178,Philippines
114,"M 6.6 - 10 km NE of Columbio, Philippines",6.6,29-10-2019 01:04,9,7,1,780,us,0,0.646,24.0,mww,15.0,6.7567,125.008,Philippines
116,"M 6.5 - 11km S of Kairatu, Indonesia",6.5,25-09-2019 23:46,7,7,1,656,us,0,3.909,15.0,mww,12.26,-3.4528,128.37,Indonesia
117,"M 6.6 - 34km NNE of Ndoi Island, Fiji",6.6,01-09-2019 15:54,2,3,1,671,us,0,4.121,19.0,mww,591.0,-20.3641,-178.57,Fiji
118,"M 6.6 - 131km S of Bristol Island, South Sandwich Islands",6.6,27-08-2019 23:55,0,4,1,670,us,0,12.896,19.0,mww,16.0,-60.2152,-26.5801,United Kingdom of Great Britain and Northern Ireland (the)
121,"M 6.6 - 62km E of Lakatoro, Vanuatu",6.6,31-07-2019 15:02,0,4,1,670,us,0,6.024,30.0,mww,181.0,-16.1985,167.998,Vanuatu
122,"M 7.2 - 93km NNE of Laiwui, Indonesia",7.2,14-07-2019 09:10,7,7,1,809,us,0,1.504,38.0,mww,18.98,-0.5858,128.034,Indonesia
124,"M 6.9 - 134km WSW of Kota Ternate, Indonesia",6.9,07-07-2019 15:08,7,5,0,747,us,0,1.205,21.0,mww,35.0,0.5126,126.189,Indonesia
125,"M 7.1 - 18km W of Searles Valley, CA",7.1,06-07-2019 03:19,9,9,0,1646,ci,77,0.04616,43.0,mw,8.0,35.7695,-117.599,United States of America
126,"M 7.3 - 292km NW of Saumlaki, Indonesia",7.3,24-06-2019 02:53,4,6,1,952,us,0,2.629,16.0,mww,212.0,-6.4078,129.169,Indonesia
129,"M 8.0 - 78 km NE of Navarro, Peru",8.0,26-05-2019 07:41,9,8,1,1890,us,0,3.18,17.0,mww,122.57,-5.8119,-75.2697,Peru
130,"M 7.6 - 46km SSE of Namatanai, Papua New Guinea",7.6,14-05-2019 12:58,7,7,1,929,us,0,0.453,16.0,mww,10.0,-4.051,152.597,Papua New Guinea
131,"M 7.1 - 33km NW of Bulolo, Papua New Guinea",7.1,06-05-2019 21:19,7,6,1,826,us,0,2.514,16.0,mww,146.0,-6.9746,146.449,Papua New Guinea
132,"M 6.8 - 98km SSW of Luwuk, Indonesia",6.8,12-04-2019 11:40,5,6,1,717,us,0,0.791,28.0,mww,15.46,-1.8146,122.58,Indonesia
134,"M 7.0 - 22 km NNE of Azángaro, Peru",7.0,01-03-2019 08:50,7,4,1,869,us,0,2.501,42.0,mww,267.0,-14.7131,-70.1546,Peru
135,"M 7.5 - 111km ESE of Palora, Ecuador",7.5,22-02-2019 10:17,7,7,1,1145,us,0,2.045,15.0,mww,145.0,-2.1862,-77.0505,Ecuador
136,"M 6.7 - 5 km SW of Puerto Madero, Mexico",6.7,01-02-2019 16:14,6,6,1,909,us,0,0.289,43.0,mww,66.0,14.6802,-92.4527,Mexico
138,"M 6.7 - 10 km SSW of Coquimbo, Chile",6.7,20-01-2019 01:32,8,8,1,1600,us,0,0.173,22.0,mww,63.0,-30.0404,-71.3815,Chile
139,"M 6.6 - 94 km NW of Sola, Vanuatu",6.6,15-01-2019 18:06,5,4,1,671,us,0,7.818,18.0,mww,35.0,-13.336,166.875,Vanuatu
140,M 6.6 - Molucca Sea,6.6,06-01-2019 17:27,2,4,1,672,us,0,1.596,33.0,mww,43.21,2.258,126.758,Indonesia
141,"M 6.8 - 90km W of Tarauaca, Brazil",6.8,05-01-2019 19:25,3,3,0,715,us,0,1.181,16.0,mww,570.41,-8.144,-71.587,Brazil
144,M 7.1 - South Sandwich Islands region,7.1,11-12-2018 02:26,0,5,1,776,us,0,7.043,20.0,mww,133.0,-58.5446,-26.3856,South Georgia and the South Sandwich Islands
147,"M 7.1 - 1 km SE of Point MacKenzie, Alaska",7.1,30-11-2018 17:29,8,8,1,1790,ak,0,0.0,0.0,mw,46.7,61.3464,-149.955,United States of America
148,"M 6.8 - 187 km E of Levuka, Fiji",6.8,18-11-2018 20:25,0,3,1,711,us,0,2.879,39.0,mww,540.0,-17.8735,-178.927,Fiji
157,"M 7.0 - 119 km E of Kimbe, Papua New Guinea",7.0,10-10-2018 20:48,6,6,1,758,us,0,1.778,18.0,mww,39.0,-5.7012,151.205,Papua New Guinea
158,"M 6.7 - 279 km E of Levuka, Fiji",6.7,30-09-2018 10:52,2,3,1,691,us,0,3.745,23.0,mww,550.0,-18.3604,-178.063,Fiji
159,"M 7.5 - 72 km N of Palu, Indonesia",7.5,28-09-2018 10:02,8,8,0,2026,us,0,1.649,13.0,mww,20.0,-0.2559,119.846,Indonesia
162,"M 6.5 - 66 km NW of Kirakira, Solomon Islands",6.5,09-09-2018 19:31,3,6,1,651,us,0,1.638,25.0,mww,68.0,-10.0207,161.503,Solomon Islands
163,"M 7.9 - 45 km S of Levuka, Fiji",7.9,06-09-2018 15:49,7,4,1,979,us,0,1.431,12.0,mww,670.81,-18.4743,179.35,Fiji
164,"M 6.6 - 27 km ESE of Chitose, Japan",6.6,05-09-2018 18:07,8,9,1,1075,us,0,1.13,32.0,mww,35.0,42.6861,141.929,Japan
166,"M 7.1 - 136 km W of Iñapari, Peru",7.1,24-08-2018 09:04,0,3,0,776,us,0,3.77,12.0,mww,630.0,-11.0355,-70.8284,Peru
167,"M 6.5 - 78 km E of Lakatoro, Vanuatu",6.5,21-08-2018 22:32,6,7,1,652,us,0,4.797,10.0,mww,9.0,-16.0315,168.143,Vanuatu
168,"M 7.3 - 40 km ENE of Carúpano, Venezuela",7.3,21-08-2018 21:31,8,6,1,1570,us,0,1.822,15.0,mww,146.82,10.7731,-62.9019,Venezuela
169,"M 6.9 - 20 km NNW of Labuan Lombok, Indonesia",6.9,19-08-2018 14:56,7,7,0,1206,us,0,2.453,31.0,mww,21.0,-8.319,116.627,Indonesia
170,"M 8.2 - 267 km E of Levuka, Fiji",8.2,19-08-2018 00:19,5,4,1,1050,us,0,3.63,13.0,mww,600.0,-18.1125,-178.153,Fiji
171,"M 6.5 - 124 km N of Labuan Bajo, Indonesia",6.5,17-08-2018 15:35,5,3,0,743,us,0,2.719,23.0,mww,529.0,-7.3718,119.802,Indonesia
172,"M 6.5 - 108 km WSW of Adak, Alaska",6.5,15-08-2018 21:56,6,6,1,655,us,0,0.576,22.0,mww,33.93,51.4234,-178.026,United States of America
173,"M 6.9 - 36 km NW of Labuan Lombok, Indonesia",6.9,05-08-2018 11:46,9,8,0,1704,us,0,2.271,15.0,mww,34.0,-8.2581,116.438,Indonesia
174,"M 6.9 - 18 km SSW of Leilani Estates, Hawaii",6.9,04-05-2018 22:32,7,8,1,1392,hv,63,0.11,210.0,mw,5.81,19.3182,-155.0,United States of America
175,"M 6.8 - 38 km SE of Boyuibe, Bolivia",6.8,02-04-2018 13:40,5,3,0,733,us,0,5.32,16.0,mww,559.0,-20.6588,-63.0058,Bolivia
176,"M 6.9 - 150 km E of Kimbe, Papua New Guinea",6.9,29-03-2018 21:25,9,6,1,741,us,0,1.487,18.0,mww,35.0,-5.5321,151.5,Papua New Guinea
177,"M 6.7 - 140 km E of Kimbe, Papua New Guinea",6.7,26-03-2018 09:51,5,6,1,696,us,0,1.507,15.0,mww,40.0,-5.5024,151.402,Papua New Guinea
178,"M 6.8 - 103 km E of Kokopo, Papua New Guinea",6.8,08-03-2018 17:39,6,6,1,719,us,0,1.049,16.0,mww,22.86,-4.3762,153.2,Papua New Guinea
179,"M 6.7 - 62 km SW of Tari, Papua New Guinea",6.7,06-03-2018 14:13,8,7,1,697,us,0,5.457,19.0,mww,20.49,-6.3043,142.612,Papua New Guinea
180,"M 7.5 - 32 km SW of Tari, Papua New Guinea",7.5,25-02-2018 17:44,9,8,1,943,us,0,5.48,17.0,mww,25.21,-6.0699,142.754,Papua New Guinea
181,"M 7.2 - 4 km S of Pinotepa de Don Luis, Mexico",7.2,16-02-2018 23:39,7,7,1,1384,us,0,0.142,82.0,mww,22.0,16.3855,-97.9787,Mexico
183,"M 7.1 - 37 km W of Atiquipa, Peru",7.1,14-01-2018 09:18,9,7,1,1075,us,0,4.29,23.0,mww,39.0,-15.7675,-74.7092,Peru
185,"M 6.5 - 12 km SSW of Kawalu, Indonesia",6.5,15-12-2017 16:47,8,7,0,998,us,0,2.365,28.0,mww,90.0,-7.4921,108.174,Indonesia
189,"M 6.5 - 18 km W of Parrita, Costa Rica",6.5,13-11-2017 02:28,8,8,1,1153,us,0,0.225,37.0,mww,19.36,9.5147,-84.4865,Costa Rica
190,"M 7.3 - 29 km S of ?alabja, Iraq",7.3,12-11-2017 18:18,8,9,0,2790,us,0,0.284,33.0,mww,19.0,34.9109,45.9592,Iran
191,"M 6.5 - 67 km WSW of Angoram, Papua New Guinea",6.5,07-11-2017 21:26,6,5,1,661,us,0,4.449,10.0,mww,110.57,-4.2433,143.485,Papua New Guinea
195,"M 6.7 - 181 km NNE of Maumere, Indonesia",6.7,24-10-2017 10:47,3,3,0,694,us,0,1.634,16.0,mww,553.81,-7.2168,123.074,Indonesia
197,"M 7.1 - 1 km S of Matzaco, Mexico",7.1,19-09-2017 18:14,9,8,0,1686,us,0,0.984,23.0,mww,48.0,18.5499,-98.4887,Mexico
199,"M 6.5 - 168 km SW of Mawu, China",6.5,08-08-2017 13:19,5,7,0,707,us,0,11.411,22.0,mww,9.0,33.1926,103.855,People's Republic of China
200,"M 6.6 - 11 km ENE of Kos, Greece",6.6,20-07-2017 22:31,7,7,0,1064,us,0,0.913,16.0,mww,7.0,36.9293,27.4139,Turkey
203,"M 6.5 - 2 km S of Lim-oo, Philippines",6.5,06-07-2017 08:03,9,8,1,740,us,0,4.139,30.0,mww,9.0,11.1269,124.629,Philippines
205,"M 6.9 - 2 km SSW of San Pablo, Guatemala",6.9,14-06-2017 07:29,8,6,1,1188,us,0,0.247,35.0,mww,93.0,14.9091,-92.0092,Guatemala
207,"M 6.6 - 37 km WNW of Poso, Indonesia",6.6,29-05-2017 14:35,7,7,0,678,us,0,2.353,18.0,mww,12.0,-1.2923,120.431,Indonesia
209,"M 6.8 - 59 km NNE of Port-Olry, Vanuatu",6.8,09-05-2017 13:52,6,5,1,713,us,0,7.495,19.0,mww,169.0,-14.5884,167.377,Vanuatu
210,"M 6.9 - 31 km SW of Burias, Philippines",6.9,28-04-2017 20:23,9,6,1,814,us,0,1.636,14.0,mww,26.0,5.5043,125.066,Philippines
212,"M 6.5 - 132 km WSW of Moijabana, Botswana",6.5,03-04-2017 17:40,7,8,0,1297,us,0,2.36,15.0,mww,29.0,-22.6784,25.1558,Botswana
213,"M 6.6 - 81 km NNE of Ust’-Kamchatsk Staryy, Russia",6.6,29-03-2017 04:09,6,7,1,671,us,0,4.591,14.0,mww,17.0,56.9401,162.786,Russia
215,"M 6.5 - 41 km E of Padilla, Bolivia",6.5,21-02-2017 14:09,3,3,0,653,us,0,4.242,14.0,mww,595.98,-19.2814,-63.9047,Bolivia
216,"M 6.5 - 11 km N of Mabua, Philippines",6.5,10-02-2017 14:03,8,7,1,718,us,0,2.822,36.0,mww,15.0,9.9071,125.452,Philippines
217,"M 7.9 - 35 km WNW of Panguna, Papua New Guinea",7.9,22-01-2017 04:30,9,7,1,987,us,0,3.625,9.0,mww,135.0,-6.2464,155.172,Papua New Guinea
218,"M 6.5 - 65 km W of Kirakira, Solomon Islands",6.5,19-01-2017 23:04,6,6,1,654,us,0,1.64,21.0,mww,36.0,-10.3506,161.335,Solomon Islands
221,"M 7.6 - 41 km SW of Quellón, Chile",7.6,25-12-2016 14:22,9,8,1,1152,us,0,0.355,29.0,mww,38.0,-43.4064,-73.9413,Chile
222,"M 6.7 - 151 km NE of Lospalos, Timor Leste",6.7,21-12-2016 00:17,5,5,0,726,us,0,3.38,17.0,mww,152.0,-7.5082,127.921,Indonesia
223,"M 7.9 - 140 km E of Kokopo, Papua New Guinea",7.9,17-12-2016 10:51,9,7,1,972,us,0,1.389,13.0,mww,94.54,-4.5049,153.522,Papua New Guinea
226,"M 7.8 - 69 km WSW of Kirakira, Solomon Islands",7.8,08-12-2016 17:38,9,8,1,961,us,0,1.836,13.0,mww,40.0,-10.6812,161.327,Solomon Islands
228,"M 6.5 - 14 km WNW of Reuleuet, Indonesia",6.5,06-12-2016 22:03,9,8,0,731,us,0,0.778,27.0,mww,13.0,5.2834,96.1678,Indonesia
229,"M 6.6 - 122 km N of Murghob, Tajikistan",6.6,25-11-2016 14:24,8,7,0,693,us,0,1.697,20.0,mww,17.0,39.2732,73.9776,People's Republic of China
232,"M 6.5 - 74 km NE of Amberley, New Zealand",6.5,14-11-2016 00:34,7,7,1,664,us,0,0.283,56.0,mww,9.0,-42.6058,173.254,New Zealand
233,"M 6.5 - 92 km SSW of Blenheim, New Zealand",6.5,13-11-2016 11:32,6,7,1,656,us,0,0.135,58.0,mww,10.0,-42.3205,173.669,New Zealand
234,"M 7.8 - 53 km NNE of Amberley, New Zealand",7.8,13-11-2016 11:02,9,9,1,1545,us,0,0.481,21.0,mww,15.11,-42.7373,173.054,New Zealand
235,"M 6.6 - 5 km ESE of Preci, Italy",6.6,30-10-2016 06:40,9,8,0,2840,us,0,0.174,25.0,mww,8.0,42.8621,13.0961,Italy
236,"M 6.6 - 161 km NNE of Pamanukan, Indonesia",6.6,19-10-2016 00:26,3,3,0,677,us,0,2.022,16.0,mww,614.0,-4.8626,108.163,Indonesia
237,"M 6.8 - 76 km WNW of Kandrian, Papua New Guinea",6.8,17-10-2016 06:14,3,6,1,716,us,0,3.727,11.0,mww,42.0,-6.0033,148.887,Papua New Guinea
238,M 6.9 - Fiji region,6.9,24-09-2016 21:28,2,3,1,733,us,0,4.051,9.0,mww,596.4,-19.7819,-178.244,Fiji
240,"M 6.8 - 90 km NE of Rabaul, Papua New Guinea",6.8,31-08-2016 03:11,4,3,1,713,us,0,0.803,12.0,mww,476.0,-3.6849,152.792,Papua New Guinea
241,"M 6.8 - 26 km W of Chauk, Myanmar",6.8,24-08-2016 10:34,6,6,0,981,us,0,1.802,17.0,mww,82.0,20.9228,94.569,Myanmar
244,"M 6.6 - 80 km W of Sungai Penuh, Indonesia",6.6,01-06-2016 22:56,4,6,0,671,us,0,2.435,16.0,mww,50.0,-2.0967,100.665,Indonesia
247,"M 6.9 - 24 km NW of Rosa Zarate, Ecuador",6.9,18-05-2016 16:46,8,7,1,780,us,0,1.192,17.0,mww,29.95,0.4947,-79.616,Ecuador
248,"M 6.7 - 32 km SE of Muisne, Ecuador",6.7,18-05-2016 07:57,5,7,1,744,us,0,1.352,21.0,mww,16.0,0.4261,-79.7899,Ecuador
249,"M 7.0 - 3 km NW of Norsup, Vanuatu",7.0,28-04-2016 19:33,7,7,1,755,us,0,0.616,14.0,mww,24.0,-16.0429,167.379,Vanuatu
250,"M 7.8 - 27 km SSE of Muisne, Ecuador",7.8,16-04-2016 23:58,9,9,1,1163,us,0,1.44,15.0,mww,20.59,0.3819,-79.9218,Ecuador
251,"M 7.0 - 6 km ESE of Kumamoto, Japan",7.0,15-04-2016 16:25,9,9,1,2074,us,0,0.349,32.0,mww,10.0,32.7906,130.754,Japan
252,"M 6.9 - 76 km SE of Mawlaik, Myanmar",6.9,13-04-2016 13:55,6,6,0,903,us,0,3.001,14.0,mww,136.0,23.0944,94.8654,Myanmar
253,"M 6.6 - 42 km WSW of Ashk?sham, Afghanistan",6.6,10-04-2016 10:28,6,4,0,738,us,0,0.789,17.0,mww,212.0,36.4725,71.1311,Afghanistan
254,"M 6.7 - 104 km W of Sola, Vanuatu",6.7,07-04-2016 03:32,7,5,1,692,us,0,6.787,25.0,mww,27.59,-13.9805,166.594,Vanuatu
255,"M 6.7 - 102 km WSW of Sola, Vanuatu",6.7,06-04-2016 06:58,7,6,1,691,us,0,6.697,19.0,mww,24.0,-14.0683,166.624,Vanuatu
256,"M 6.9 - 82 km NNW of Port-Olry, Vanuatu",6.9,03-04-2016 08:23,7,6,1,734,us,0,1.166,25.0,mww,26.0,-14.3235,166.855,Vanuatu
258,"M 7.2 - 80 km S of Mil’kovo, Russia",7.2,30-01-2016 03:25,3,7,1,799,us,0,0.958,17.0,mww,177.0,53.9776,158.546,Russia
259,"M 7.1 - 47 km ESE of Pedro Bay, Alaska",7.1,24-01-2016 10:30,7,7,1,1496,ak,0,0.0,0.0,mw,125.6,59.6204,-153.339,United States of America
261,"M 6.7 - 52 km SE of Shizunai-furukawach?, Japan",6.7,14-01-2016 03:25,5,6,1,717,us,0,0.281,22.0,mww,46.0,41.9723,142.781,Japan
262,"M 6.5 - 227 km SE of Sarangani, Philippines",6.5,11-01-2016 16:38,3,6,1,651,us,0,3.144,22.0,mww,13.0,3.8965,126.862,Indonesia
263,"M 6.7 - 29 km W of Imph?l, India",6.7,03-01-2016 23:05,8,7,0,1515,us,0,1.794,16.0,mww,55.0,24.8036,93.6505,India
264,"M 6.6 - 4 km W of Manuel Ávila Camacho (Ponte Duro), Mexico",6.6,17-12-2015 19:49,8,6,1,765,us,0,0.41,35.0,mww,85.0,15.8015,-93.633,Mexico
265,"M 6.9 - 107 km SE of Amahai, Indonesia",6.9,09-12-2015 10:21,8,5,0,738,us,0,2.979,14.0,mww,21.0,-4.1064,129.508,Indonesia
266,"M 7.2 - 104 km W of Murghob, Tajikistan",7.2,07-12-2015 07:50,4,7,0,827,us,0,1.116,18.0,mww,22.0,38.2107,72.7797,Tajikistan
267,"M 6.7 - 125 km SSW of Tarauacá, Brazil",6.7,26-11-2015 05:45,2,3,0,691,us,0,2.033,19.0,mww,602.75,-9.1825,-71.2574,Brazil
268,"M 7.6 - 185 km WNW of Iñapari, Peru",7.6,24-11-2015 22:50,5,4,0,896,us,0,2.852,10.0,mww,620.56,-10.0598,-71.0184,Peru
269,"M 7.6 - 155 km WNW of Iñapari, Peru",7.6,24-11-2015 22:45,6,5,1,957,us,0,3.287,10.0,mww,606.21,-10.5372,-70.9437,Peru
270,"M 6.8 - 153 km WSW of Buala, Solomon Islands",6.8,18-11-2015 18:31,5,6,1,715,us,0,1.599,19.0,mww,12.59,-8.8994,158.422,Solomon Islands
271,"M 6.5 - 19 km SSW of Lefkáda, Greece",6.5,17-11-2015 07:10,7,7,0,1018,us,0,0.0,0.0,mww,11.0,38.67,20.6,Greece
276,"M 6.8 - 39 km SW of Ovalle, Chile",6.8,07-11-2015 07:31,7,7,1,841,us,0,0.258,41.0,mww,46.0,-30.8796,-71.4519,Chile
277,"M 6.5 - 47 km NW of Maubara, Timor Leste",6.5,04-11-2015 03:44,5,7,0,657,us,0,1.53,21.0,mww,20.0,-8.3381,124.875,Indonesia
278,"M 7.5 - Hindu Kush region, Afghanistan",7.5,26-10-2015 09:09,8,7,0,1448,us,0,0.622,18.0,mww,231.0,36.5244,70.3676,Afghanistan
279,"M 7.1 - 31 km NE of Port-Olry, Vanuatu",7.1,20-10-2015 21:52,6,6,1,780,us,0,0.592,11.0,mww,135.0,-14.8595,167.303,Vanuatu
